Phase,Day,Trial,Group,Cage,ID,SN,Tag,Entry,Goal,Reversal,Finish,OnlineTracking,Name
habituation,0,1,A,,,1,,z,N,,,,
habituation,0,1,A,,,2,,z,E,,,,
habituation,0,1,A,,,3,,z,S,,,,
habituation,0,1,B,,,4,,z,N,,,,
habituation,0,1,B,,,5,,z,W,,,,
habituation,0,1,B,,,6,,z,E,,,,
training,1,1,A,,,1,,y,N,,,,
training,1,1,A,,,2,,y,E,,,,
training,1,1,A,,,3,,y,S,,,,
training,1,1,B,,,4,,y,N,,,,
training,1,1,B,,,5,,y,W,,,,
training,1,1,B,,,6,,y,E,,,,
training,1,2,A,,,1,,x,N,,,,
training,1,2,A,,,2,,x,E,,,,
training,1,2,A,,,3,,x,S,,,,
training,1,2,B,,,4,,x,N,,,,
training,1,2,B,,,5,,x,W,,,,
training,1,2,B,,,6,,x,E,,,,
training,1,3,A,,,1,,z,N,,,,
training,1,3,A,,,2,,z,E,,,,
training,1,3,A,,,3,,z,S,,,,
training,1,3,B,,,4,,z,N,,,,
training,1,3,B,,,5,,z,W,,,,
training,1,3,B,,,6,,z,E,,,,
training,2,1,A,,,1,,x,N,,,,
training,2,1,A,,,2,,x,E,,,,
training,2,1,A,,,3,,x,S,,,,
training,2,1,B,,,4,,x,N,,,,
training,2,1,B,,,5,,x,W,,,,
training,2,1,B,,,6,,x,E,,,,
training,2,2,A,,,1,,y,N,,,,
training,2,2,A,,,2,,y,E,,,,
training,2,2,A,,,3,,y,S,,,,
training,2,2,B,,,4,,y,N,,,,
training,2,2,B,,,5,,y,W,,,,
training,2,2,B,,,6,,y,E,,,,
training,2,3,A,,,1,,z,N,,,,
training,2,3,A,,,2,,z,E,,,,
training,2,3,A,,,3,,z,S,,,,
training,2,3,B,,,4,,z,N,,,,
training,2,3,B,,,5,,z,W,,,,
training,2,3,B,,,6,,z,E,,,,
training,3,1,A,,,1,,z,N,,,,
training,3,1,A,,,2,,z,E,,,,
training,3,1,A,,,3,,z,S,,,,
training,3,1,B,,,4,,z,N,,,,
training,3,1,B,,,5,,z,W,,,,
training,3,1,B,,,6,,z,E,,,,
training,3,2,A,,,1,,y,N,,,,
training,3,2,A,,,2,,y,E,,,,
training,3,2,A,,,3,,y,S,,,,
training,3,2,B,,,4,,y,N,,,,
training,3,2,B,,,5,,y,W,,,,
training,3,2,B,,,6,,y,E,,,,
training,3,3,A,,,1,,x,N,,,,
training,3,3,A,,,2,,x,E,,,,
training,3,3,A,,,3,,x,S,,,,
training,3,3,B,,,4,,x,N,,,,
training,3,3,B,,,5,,x,W,,,,
training,3,3,B,,,6,,x,E,,,,
training,4,1,A,,,1,,x,N,,,,
training,4,1,A,,,2,,x,E,,,,
training,4,1,A,,,3,,x,S,,,,
training,4,1,B,,,4,,x,N,,,,
training,4,1,B,,,5,,x,W,,,,
training,4,1,B,,,6,,x,E,,,,
training,4,2,A,,,1,,y,N,,,,
training,4,2,A,,,2,,y,E,,,,
training,4,2,A,,,3,,y,S,,,,
training,4,2,B,,,4,,y,N,,,,
training,4,2,B,,,5,,y,W,,,,
training,4,2,B,,,6,,y,E,,,,
training,4,3,A,,,1,,z,N,,,,
training,4,3,A,,,2,,z,E,,,,
training,4,3,A,,,3,,z,S,,,,
training,4,3,B,,,4,,z,N,,,,
training,4,3,B,,,5,,z,W,,,,
training,4,3,B,,,6,,z,E,,,,
training,5,1,A,,,1,,x,N,,,,
training,5,1,A,,,2,,x,E,,,,
training,5,1,A,,,3,,x,S,,,,
training,5,1,B,,,4,,x,N,,,,
training,5,1,B,,,5,,x,W,,,,
training,5,1,B,,,6,,x,E,,,,
training,5,2,A,,,1,,y,N,,,,
training,5,2,A,,,2,,y,E,,,,
training,5,2,A,,,3,,y,S,,,,
training,5,2,B,,,4,,y,N,,,,
training,5,2,B,,,5,,y,W,,,,
training,5,2,B,,,6,,y,E,,,,
training,5,3,A,,,1,,z,N,,,,
training,5,3,A,,,2,,z,E,,,,
training,5,3,A,,,3,,z,S,,,,
training,5,3,B,,,4,,z,N,,,,
training,5,3,B,,,5,,z,W,,,,
training,5,3,B,,,6,,z,E,,,,
training,6,1,A,,,1,,y,N,,,,
training,6,1,A,,,2,,y,E,,,,
training,6,1,A,,,3,,y,S,,,,
training,6,1,B,,,4,,y,N,,,,
training,6,1,B,,,5,,y,W,,,,
training,6,1,B,,,6,,y,E,,,,
training,6,2,A,,,1,,z,N,,,,
training,6,2,A,,,2,,z,E,,,,
training,6,2,A,,,3,,z,S,,,,
training,6,2,B,,,4,,z,N,,,,
training,6,2,B,,,5,,z,W,,,,
training,6,2,B,,,6,,z,E,,,,
training,6,3,A,,,1,,x,N,,,,
training,6,3,A,,,2,,x,E,,,,
training,6,3,A,,,3,,x,S,,,,
training,6,3,B,,,4,,x,N,,,,
training,6,3,B,,,5,,x,W,,,,
training,6,3,B,,,6,,x,E,,,,
probe_test,7,1,A,,,1,,z,N,,,,
probe_test,7,1,A,,,2,,z,E,,,,
probe_test,7,1,A,,,3,,z,S,,,,
probe_test,7,1,B,,,4,,z,N,,,,
probe_test,7,1,B,,,5,,z,W,,,,
probe_test,7,1,B,,,6,,z,E,,,,
